import time: self [us] | cumulative | imported package
import time:      3909 |       6594 | django.template.defaulttags
import time:      3833 |       3833 | django.contrib.admin.decorators
import time:      1157 |       1157 |   django.contrib.admin.exceptions
import time:      1473 |       1473 |         django.contrib.messages.constants
import time:      1319 |       1319 |         django.contrib.messages.storage
import time:      3059 |       5850 |       django.contrib.messages.api
import time:       850 |        850 |         django.contrib.messages.utils
import time:      2127 |       2977 |       django.contrib.messages.storage.base
import time:      2615 |      11441 |     django.contrib.messages
import time:      1597 |       1597 |       django.contrib.admin.utils
import time:      2666 |       4263 |     django.contrib.admin.helpers
import time:      3561 |       3561 |     django.contrib.admin.widgets
import time:      4645 |       4645 |     django.contrib.admin.checks
import time:      1907 |       1907 |       django.contrib.admin.templatetags
import time:      2540 |       4447 |     django.contrib.admin.templatetags.admin_urls
import time:      1091 |       1091 |         django.middleware
import time:      1416 |       1416 |         django.utils.cache
import time:      5027 |       7533 |       django.middleware.csrf
import time:      1430 |       1430 |       django.contrib.auth.signals
import time:      2866 |      11828 |     django.contrib.auth
import time:      1488 |       1488 |     django.views.decorators.csrf
import time:      7660 |      49329 |   django.contrib.admin.options
import time:      3612 |      54097 | django.contrib.admin.filters
import time:      1191 |       1191 |   django.contrib.admin.actions
import time:      1678 |       1678 |     django.contrib.admin.views
import time:      2735 |       4413 |   django.contrib.admin.views.autocomplete
import time:      1135 |       1135 |     django.shortcuts
import time:      2037 |       3172 |   django.contrib.auth.decorators
import time:      1246 |       1246 |     django.middleware.cache
import time:      2204 |       3450 |   django.views.decorators.cache
import time:       993 |        993 |   django.views.decorators.common
import time:      1287 |       1287 |   django.views.i18n
import time:      5628 |      20131 | django.contrib.admin.sites
import time:       423 |        423 |       termios
import time:      1877 |       2299 |     getpass
import time:      1090 |       1090 |       django.contrib.contenttypes
import time:      1417 |       1417 |           django.db.migrations.utils
import time:      1266 |       1266 |           django.db.migrations.exceptions
import time:      2955 |       5638 |         django.db.migrations.migration
import time:      1494 |       1494 |             django.db.migrations.operations.base
import time:      2380 |       3873 |           django.db.migrations.operations.fields
import time:      3132 |       3132 |             django.db.migrations.state
import time:      3051 |       6183 |           django.db.migrations.operations.models
import time:      2529 |       2529 |           django.db.migrations.operations.special
import time:      5114 |      17698 |         django.db.migrations.operations
import time:      3232 |      26567 |       django.db.migrations
import time:      4037 |      31693 |     django.contrib.contenttypes.management
import time:      2929 |      36921 |   django.contrib.auth.management
import time:      4144 |      41064 | django.contrib.auth.checks
import time:      1052 |       1052 | django.contrib.contenttypes.checks
import time:       964 |        964 |     django.contrib.staticfiles.utils
import time:      1956 |       2919 |   django.contrib.staticfiles.finders
import time:      1537 |       4456 | django.contrib.staticfiles.checks
import time:      3045 |       3045 | django.contrib.contenttypes.models
import time:      1600 |       1600 |   django.contrib.auth.password_validation
import time:      2236 |       2236 |   django.contrib.auth.hashers
import time:      2862 |       2862 |   mssql.functions
import time:      3999 |       3999 |   pyodbc
import time:      1225 |       1225 |     django.db.backends.base.validation
import time:       966 |        966 |     django.db.backends.signals
import time:      1453 |       1453 |     django.utils.asyncio
import time:      3892 |       7536 |   django.db.backends.base.base
import time:      2034 |       2034 |     django.db.backends.base.client
import time:      3869 |       5903 |   mssql.client
import time:      1820 |       1820 |     django.db.backends.base.creation
import time:      3359 |       5179 |   mssql.creation
import time:      1946 |       1946 |     django.db.backends.base.features
import time:      2308 |       4254 |   mssql.features
import time:      2016 |       2016 |     django.db.backends.base.introspection
import time:      2973 |       4989 |   mssql.introspection
import time:      1642 |       1642 |       pytz.exceptions
import time:      1615 |       1615 |       pytz.lazy
import time:      3496 |       3496 |       pytz.tzinfo
import time:      1246 |       1246 |       pytz.tzfile
import time:      5062 |      13059 |     pytz
import time:      2389 |      15448 |   mssql.operations
import time:      2379 |       2379 |       django.db.backends.ddl_references
import time:      3551 |       5930 |     django.db.backends.base.schema
import time:      2920 |       8849 |   mssql.schema
import time:     14540 |      77390 | django.contrib.auth.base_user
import time:      2051 |       2051 | django.contrib.auth.validators
import time:      1636 |       1636 | django.utils.translation.reloader
import time:      2940 |       2940 | django.contrib.sessions.base_session
import time:     26732 |      26732 | jobs.models
import time:      1071 |       1071 |   django.contrib.auth.tokens
import time:       979 |        979 |     django.contrib.sites
import time:      1675 |       1675 |     django.contrib.sites.requests
import time:      4025 |       6678 |   django.contrib.sites.shortcuts
import time:      6746 |      14494 | django.contrib.auth.forms
import time:      2011 |       2011 | django.contrib.contenttypes.fields
import time:      1174 |       1174 | django.contrib.contenttypes.forms
import time:       661 |        661 |   clients.totals
import time:      1818 |       2479 | clients.signals_ticket_lines
import time:      1461 |       1461 | providers.signals
import time:       634 |        634 |   providers.totals
import time:      1644 |       2278 | providers.signals_ticket_lines
import time:      1042 |       1042 | jobs.signals
import time:      1856 |       1856 |       urllib.response
import time:      2391 |       4246 |     urllib.error
import time:      3776 |       8022 |   urllib.request
import time:      1087 |       1087 |     django.views.static
import time:      1743 |       2830 |   django.contrib.staticfiles.views
